"resp_id","region","size","sup_status","current_credentials","cred_recat","current_credentials_list","credentials_interest","credentials_interest_list","credentials_interest_list_other","Degrees","assoc_degree_other","bach_degree_other","master_degree_other","degree_pursuing","pursuing_degree_asso_other","pursuing_degree_bach_other","pursuing_degree_master_other","pursuing_degree_phPhd_other","pursuing_degree_phd_other","degree_concentration_other","primary_concentration_degree","primary_concentration_degree_other","highest_degree","degree_recat"
189,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH),Infection Control Certification (CIC),Licensed Clinical Social Worker (LCSW)",NA,"Other bachelor's degree (please specify)",NA,"Education",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
190,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified Community Health Worker,Other Certification (please specify)","License addiction counselor","Other associate degree (please specify)","Instructor of Cosmetology",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Associates","less than Bachelors"
191,"Region 4","Large","Non-supervisor","Certified Community Health Worker,Other Certification (please specify)","certified","Peer support Specialist, MHFA instructor, WRAP facilitator, Narcan Trainer","Yes","Licensed Clinical Social Worker (LCSW)",NA,"High school or equivalent,Other associate degree (please specify)","some college",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Associates","less than Bachelors"
192,"Region 4","Large","Non-supervisor","Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)","certified",NA,"No",NA,NA,"Other associate degree (please specify),Other bachelor's degree (please specify)","Accounting and Technology","Occupational Safety and Health",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
193,"Region 4","Large","Non-supervisor","Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)","certified",NA,"No",NA,NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
194,"Region 2","Small","Non-supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"Yes","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Certified Community Health Worker,Certified Health Education Specialist (CHES or Master CHES)",NA,"BSN,I am currently pursuing a degree",NA,NA,NA,"DNP",NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
195,"Region 2","Large","Non-supervisor","Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)","certified",NA,"Yes","Certified Professional - Food Safety (CP-FS) and/or Certified Foodborne Outbreak Investigator,Certified in Public Health (CPH)",NA,"Other associate degree (please specify),BS/BA,I am currently pursuing a degree","Veterinary Technology",NA,NA,"MPH",NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
196,"Region 2","Small","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Nurse certification (RN, LPN, NP, BSN)",NA,"Associate's degree in nursing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Associates","less than Bachelors"
197,"Region 2","Small","Supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"Yes","Certified in Public Health (CPH),Infection Control Certification (CIC),Laboratory Certification",NA,"MSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masters or higher","Bachelors or higher"
198,"Region 2","Small","Non-supervisor","Certified Community Health Worker","certified",NA,"Yes","Certified in Public Health (CPH),Diabetes Educator Certification (CDE)",NA,"High school or equivalent,Other associate degree (please specify)","Elementary Ed",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Environmental Health,Health Communication",NA,"Associates","less than Bachelors"
199,"Region 2","Small","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"Associate's degree in nursing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Associates","less than Bachelors"
200,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified Community Health Worker,Certified in Public Health (CPH),Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)",NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
201,"Region 4","Medium","Non-supervisor","Physician Board Certification (MD, DO)","certified",NA,"No",NA,NA,"MD/DO, or international equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masters or higher","Bachelors or higher"
202,"Region 1","Frontier","Non-supervisor","Laboratory Certification","certified",NA,"No",NA,NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
203,"Region 4","Large","Non-supervisor","Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)","certified",NA,"No",NA,NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
204,"Region 4","Large","Non-supervisor","Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)","certified",NA,"No",NA,NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Community / Population Health",NA,"Bachelors","Bachelors or higher"
205,"Region 1","Frontier","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"Other associate degree (please specify)","General Studies",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Associates","less than Bachelors"
206,"Region 2","Small","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified Community Health Worker,Certified in Public Health (CPH),Laboratory Certification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"less than Bachelors"
207,"Region 2","Small","Non-supervisor","Other Certification (please specify)","certified","Certified Medical Assistant","No",NA,NA,"I am currently pursuing a degree",NA,NA,NA,"Associate's degree in nursing",NA,NA,NA,NA,NA,NA,NA,NA,NA,"less than Bachelors"
208,"Region 3","Large","Supervisor","Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)","certified",NA,"Yes","Certified in Public Health (CPH)",NA,"High school or equivalent,BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
209,"Region 4","Large","Non-supervisor","Certified Community Health Worker","certified",NA,"Yes","Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH)",NA,"Other associate degree (please specify)","Psychology",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Associates","less than Bachelors"
210,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"BS/BA,I am currently pursuing a degree",NA,NA,NA,"MPH",NA,NA,NA,NA,NA,"Yes","Epidemiology,Infectious Disease",NA,"Bachelors","Bachelors or higher"
211,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
212,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified in Public Health (CPH)",NA,"BSPH/BAPH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
213,"Region 4","Large","Executive","Certified in Public Health (CPH),Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)","certified",NA,"No",NA,NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
214,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)",NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Environmental Health",NA,"Bachelors","Bachelors or higher"
215,"Region 1","Small","Non-supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"Yes","Certified in Public Health (CPH),Nurse certification (RN, LPN, NP, BSN)",NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
216,"Region 1","Small","Non-supervisor","Other Certification (please specify)","certified","CNA","Yes","Certified Community Health Worker,Certified in Public Health (CPH)",NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
217,"Region 1","Small","Non-supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"No",NA,NA,"BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
218,"Region 1","Small","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
219,"Region 1","Frontier","Supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"No",NA,NA,"High school or equivalent,BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
220,"Region 4","Small","Supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified Health Education Specialist (CHES or Master CHES),Certified Professional - Food Safety (CP-FS) and/or Certified Foodborne Outbreak Investigator,Certified in Public Health (CPH),Infection Control Certification (CIC)",NA,"BS/BA,MPH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Masters or higher","Bachelors or higher"
221,"Region 4","Small","Non-supervisor","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Nurse certification (RN, LPN, NP, BSN)","certified",NA,"Yes","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Nurse certification (RN, LPN, NP, BSN)",NA,"High school or equivalent,Other associate degree (please specify)","Certificate in Nursing LPN",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Associates","less than Bachelors"
222,"Region 4","Large","Executive","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"Yes","Infection Control Certification (CIC),Other Certification (please specify)","Environmental Health","BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
223,"Region 4","Small","Non-supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"Yes","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Certified in Public Health (CPH)",NA,"Associate's degree in nursing,BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
224,"Region 5","Small","Supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"No",NA,NA,"Other bachelor's degree (please specify)",NA,"Bachelor of Arts in Nursing",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
225,"Region 1","Medium","Non-supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"No",NA,NA,"Associate's degree in nursing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Associates","less than Bachelors"
226,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"Other associate degree (please specify)","Accounting",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Associates","less than Bachelors"
227,"Region 5","Small","Non-supervisor","Certified Community Health Worker","certified",NA,"Yes","Other Certification (please specify)","paralegal","High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
228,"Region 5","Small","Non-supervisor","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Certified Community Health Worker","certified",NA,"Yes","Licensed Clinical Social Worker (LCSW)",NA,"MSW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masters or higher","Bachelors or higher"
229,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"High school or equivalent,BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
230,"Region 5","Small","Non-supervisor","Certified Community Health Worker","certified",NA,"No",NA,NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
231,"Region 5","Small","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"High school or equivalent,BS/BA,JD",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Masters or higher","Bachelors or higher"
232,"Region 5","Small","Non-supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"Yes","Certified in Public Health (CPH),Physical Activity in Public Health Specialist (PAPHS)",NA,"BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
233,"Region 5","Small","Non-supervisor","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Certified Community Health Worker,Other Certification (please specify)","certified","Birth Doula","Yes","Diabetes Educator Certification (CDE),Licensed Clinical Social Worker (LCSW)",NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
234,"Region 4","Small","Non-supervisor","Other Certification (please specify)","certified","Breastfeeding Peer Counselor","Yes","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC)",NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
235,"Region 4","Large","Non-supervisor","Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)","certified",NA,"No",NA,NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
236,"Region 1","Medium","Executive","Other Certification (please specify)","certified","RS","No",NA,NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
237,"Region 2","Small","Non-supervisor","Other Certification (please specify)","certified","Certified Nursing Assistant","Yes","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Certified Community Health Worker,Certified Health Education Specialist (CHES or Master CHES),Certified Professional - Food Safety (CP-FS) and/or Certified Foodborne Outbreak Investigator,Certified in Public Health (CPH),Diabetes Educator Certification (CDE),Infection Control Certification (CIC),Laboratory Certification,Licensed Clinical Social Worker (LCSW),Nurse certification (RN, LPN, NP, BSN)",NA,"Associate's degree in nursing,Other associate degree (please specify)","Health Science",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Associates","less than Bachelors"
238,"Region 4","Large","Supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
239,"Region 4","Large","Non-supervisor","Other Certification (please specify)","certified","CpHT and Massage Therapy","Yes","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Certified Community Health Worker,Certified Health Education Specialist (CHES or Master CHES),Certified Professional - Food Safety (CP-FS) and/or Certified Foodborne Outbreak Investigator,Certified in Public Health (CPH),Infection Control Certification (CIC),Laboratory Certification,Nurse certification (RN, LPN, NP, BSN),Registered Dietitian (RD),Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)",NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
240,"Region 2","Small","Supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
241,"Region 2","Small","Non-supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"No",NA,NA,"Associate's degree in nursing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Associates","less than Bachelors"
242,"Region 2","Small","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
243,"Region 4","Small","Supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH)",NA,"High school or equivalent,BS/BA,MA/MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Masters or higher","Bachelors or higher"
244,"Region 1","Frontier","Non-supervisor","Other Certification (please specify)","certified","CNA","No",NA,NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
245,"Region 5","Small","Non-supervisor","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Certified Community Health Worker","certified",NA,"No",NA,NA,"High school or equivalent,Other associate degree (please specify)","Early Childhood Education",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Associates","less than Bachelors"
246,"Region 5","Small","Supervisor","Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH)","certified",NA,"Yes","Certified Professional - Food Safety (CP-FS) and/or Certified Foodborne Outbreak Investigator,Infection Control Certification (CIC)",NA,"High school or equivalent,BS/BA,MA/MS,MPH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Community / Population Health,Health Education,Social and Behavioral Science",NA,"Masters or higher","Bachelors or higher"
247,"Region 3","Large","Supervisor","Other Certification (please specify)","certified","Pharmacist Board Certified","No",NA,NA,"PharmD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masters or higher","Bachelors or higher"
248,"Region 3","Large","Supervisor","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Certified in Public Health (CPH),Nurse certification (RN, LPN, NP, BSN)","certified",NA,"Yes","Other Certification (please specify)","Certified Case Manager, IBCLC","BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
249,"Region 3","Large","Supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
250,"Region 3","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified Professional - Food Safety (CP-FS) and/or Certified Foodborne Outbreak Investigator,Infection Control Certification (CIC)",NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
251,"Region 3","Large","Non-supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"Yes","Certified in Public Health (CPH)",NA,"BSN,MSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masters or higher","Bachelors or higher"
252,"Region 3","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
253,"Region 3","Large","Supervisor","Certified in Public Health (CPH),Nurse certification (RN, LPN, NP, BSN)","certified",NA,"No",NA,NA,"High school or equivalent,BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
254,"Region 3","Large","Non-supervisor","Other Certification (please specify)","certified","CPC, CPB","No",NA,NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
255,"Region 3","Large","Supervisor","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC)","certified",NA,"Yes","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Certified Community Health Worker",NA,"MA/MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Masters or higher","Bachelors or higher"
256,"Region 3","Large","Non-supervisor","Certified Health Education Specialist (CHES or Master CHES)","certified",NA,"No",NA,NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Community / Population Health,Food Systems / Nutrition,Health Education",NA,"Bachelors","Bachelors or higher"
257,"Region 3","Large","Non-supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"No",NA,NA,"BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
258,"Region 4","Large","Supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH),Infection Control Certification (CIC),Physical Activity in Public Health Specialist (PAPHS)",NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
259,"Region 4","Large","Non-supervisor","Nurse certification (RN, LPN, NP, BSN),Other Certification (please specify)","certified","PMHNP","No",NA,NA,"DNP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masters or higher","Bachelors or higher"
260,"Region 3","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified Community Health Worker,Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH),Licensed Clinical Social Worker (LCSW)",NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
261,"Region 3","Large","Supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"High school or equivalent,BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
262,"Region 3","Large","Non-supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"No",NA,NA,"Associate's degree in nursing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Associates","less than Bachelors"
263,"Region 3","Small","Executive","Not formally certified","Not formally certified",NA,"Yes","Certified in Public Health (CPH),Registered Dietitian (RD)",NA,"Other associate degree (please specify),BS/BA,MBA,I am currently pursuing a degree","Business",NA,NA,"PhD/ScD/other non-public health doctorate (please specify)",NA,NA,NA,NA,"DBA-Healthcare Administration","No",NA,NA,"Masters or higher","Bachelors or higher"
264,"Region 3","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Licensed Clinical Social Worker (LCSW)",NA,"High school or equivalent,BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
265,"Region 3","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Licensed Clinical Social Worker (LCSW)",NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
266,"Region 3","Large","Supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH)",NA,"BS/BA,MPH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Masters or higher","Bachelors or higher"
267,"Region 2","Medium","Executive","Not formally certified","Not formally certified",NA,"No",NA,NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
268,"Region 3","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"Other associate degree (please specify)","Medical Assistant",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Associates","less than Bachelors"
269,"Region 2","Medium","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)",NA,"High school or equivalent,BS/BA,MPH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Environmental Health,Occupational Health",NA,"Masters or higher","Bachelors or higher"
270,"Region 3","Medium","Non-supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"Yes","Certified in Public Health (CPH)",NA,"Associate's degree in nursing,I am currently pursuing a degree",NA,NA,NA,"BSN",NA,NA,NA,NA,NA,NA,NA,NA,"Associates","less than Bachelors"
271,"Region 1","Medium","Non-supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"Yes","Certified Community Health Worker",NA,"Associate's degree in nursing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Associates","less than Bachelors"
272,"Region 4","Small","Supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"Yes","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH),Diabetes Educator Certification (CDE),Infection Control Certification (CIC),Laboratory Certification",NA,"Associate's degree in nursing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Associates","less than Bachelors"
273,"Region 2","Large","Supervisor","Certified in Public Health (CPH)","certified",NA,"Yes","Nurse certification (RN, LPN, NP, BSN)",NA,"BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
274,"Region 4","Small","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH)",NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
275,"Region 2","Medium","Supervisor","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Nurse certification (RN, LPN, NP, BSN)","certified",NA,"Yes","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Registered Dietitian (RD)",NA,"BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
276,"Region 1","Medium","Non-supervisor","Infection Control Certification (CIC)","certified",NA,"Yes","Certified in Public Health (CPH),Diabetes Educator Certification (CDE)",NA,"BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
277,"Region 4","Small","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
278,"Region 1","Medium","Non-supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"Yes","Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH)",NA,"Associate's degree in nursing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Associates","less than Bachelors"
279,"Region 3","Medium","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
280,"Region 2","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)",NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Environmental Health",NA,"Bachelors","Bachelors or higher"
281,"Region 5","Large","Non-supervisor","Certified in Public Health (CPH),Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)","certified",NA,"Yes","Certified Health Education Specialist (CHES or Master CHES),Certified Professional - Food Safety (CP-FS) and/or Certified Foodborne Outbreak Investigator",NA,"Other bachelor's degree (please specify)",NA,"BA Community Health",NA,NA,NA,NA,NA,NA,NA,"Yes","Community / Population Health",NA,"Bachelors","Bachelors or higher"
282,"Region 5","Medium","Executive","Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)","certified",NA,"Yes","Certified Professional - Food Safety (CP-FS) and/or Certified Foodborne Outbreak Investigator",NA,"High school or equivalent,BS/BA,MPH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Community / Population Health,Environmental Health",NA,"Masters or higher","Bachelors or higher"
283,"Region 2","Large","Non-supervisor","Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)","certified",NA,"No",NA,NA,"High school or equivalent,BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
